location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20240105T1200,7.900245,90.344864,6.2145634,190.00798
20240105T1300,8.240246,88.45523,6.5693827,189.46233
20240105T1400,8.280246,89.01207,5.7599998,180.0
20240105T1500,8.090245,89.67528,5.04,180.0
20240105T1600,7.420245,91.061104,5.4119864,183.81407
20240105T1700,7.110245,92.05645,4.6938252,175.60129
20240105T1800,6.4902453,94.15688,4.73506,171.25385
20240105T1900,5.9702454,95.85516,3.2599385,173.6598
20240105T2000,5.650245,95.63918,2.2768397,198.43495
20240105T2100,5.860245,93.72487,3.6179552,275.7106
20240105T2200,5.9502454,93.07531,4.6938257,302.4712
20240105T2300,5.790245,92.28286,6.4096174,321.84277
20240106T0000,5.7402453,92.14943,5.3517847,317.72632
20240106T0100,5.630245,91.236595,4.5536795,288.43497
20240106T0200,5.4102454,90.4483,5.2416787,285.9454
20240106T0300,5.210245,89.91965,4.3349743,265.23636
20240106T0400,5.040245,89.96792,4.379589,260.5377
20240106T0500,4.920245,90.59809,3.9763298,264.80557
20240106T0600,4.8502455,90.39915,3.7585104,253.30075
20240106T0700,4.5802455,91.02076,4.0249224,259.69516
20240106T0800,4.6602454,89.933075,3.2599385,263.65982
20240106T0900,5.2002454,89.030235,4.1046314,285.25513
20240106T1000,5.5602455,87.06864,5.506941,281.30994
20240106T1100,5.980245,84.561966,5.815978,291.8014
20240106T1200,6.2602453,82.23217,4.829907,296.56506
20240106T1300,6.2602453,81.998856,5.1165614,309.2894
20240106T1400,6.0702453,83.44102,6.792466,327.99463
20240106T1500,5.860245,84.06746,5.495161,328.39252
20240106T1600,5.4702454,85.952255,3.8939953,326.30994
20240106T1700,5.210245,86.227806,4.510787,331.38956
20240106T1800,5.1602454,86.59128,4.198285,329.03625
20240106T1900,5.1202455,87.32979,4.8965297,323.97263
20240106T2000,4.960245,88.375725,6.4096174,321.84277
20240106T2100,4.790245,89.49821,6.489992,326.30994
20240106T2200,4.730245,91.68229,4.1046314,344.74487
20240106T2300,4.6002455,92.325615,6.924738,351.02737
20240107T0000,4.5702453,92.586044,8.669949,355.23636
20240107T0100,4.4902453,93.77111,9.746631,355.7636
20240107T0200,4.3302455,94.832115,10.823973,356.18594
20240107T0300,4.1902456,95.83943,11.183201,356.30862
20240107T0400,4.0902452,95.3593,11.165805,358.1524
20240107T0500,3.8402452,95.21054,11.542478,356.42368
20240107T0600,3.6002455,95.19762,11.183201,356.30862
20240107T0700,3.4702454,96.14667,11.212135,354.47247
20240107T0800,3.4102454,96.14385,12.015589,351.38434
20240107T0900,3.5402455,96.149956,14.154915,352.69427
20240107T1000,4.1002455,95.76707,12.181625,341.0296
20240107T1100,4.3702455,92.90125,13.138765,350.5377
20240107T1200,4.7402453,88.47911,13.039754,353.65985
20240107T1300,4.730245,88.03747,12.6462,355.1009
20240107T1400,4.5402455,88.52173,15.856356,2.6025543
20240107T1500,4.0402455,88.5971,15.188415,5.440323
20240107T1600,3.4702454,89.49933,15.745627,10.539185
20240107T1700,2.7902455,90.27736,16.454008,10.080597
20240107T1800,2.2102454,90.68294,15.893093,13.091873
20240107T1900,1.7202454,91.16808,15.893093,13.091873
20240107T2000,1.3402455,90.53691,16.418526,15.255127
20240107T2100,0.9502454,89.11544,15.111424,12.380737
20240107T2200,0.4902454,88.93581,13.493999,9.211014
20240107T2300,0.080245405,87.45406,15.39184,10.7842865
20240108T0000,-0.35975462,86.6239,16.167967,11.560135
20240108T0100,-0.72975457,85.547104,15.39184,10.7842865
20240108T0200,-0.9597546,84.81319,14.917212,8.325638
20240108T0300,-1.1597546,83.51814,14.685176,11.309921
20240108T0400,-1.1797546,81.460526,14.408997,12.994629
20240108T0500,-1.1897546,79.14838,13.896187,16.557053
20240108T0600,-1.1797546,77.308586,13.450708,15.524109
20240108T0700,-1.1797546,75.90907,13.1041975,15.945404
20240108T0800,-1.0897546,74.892456,13.32,18.924637
20240108T0900,-0.9497546,74.63593,14.33234,25.27771
20240108T1000,-0.7197546,71.5616,15.484185,35.53766
20240108T1100,-0.61975455,69.63993,14.982228,35.217575
20240108T1200,-0.3797546,68.53212,14.84318,39.09384
20240108T1300,-0.28975457,67.978546,15.021105,44.028976
20240108T1400,-0.2697546,68.03541,15.273505,44.999985
20240108T1500,-0.34975457,68.22504,15.30741,48.81407
20240108T1600,-0.5697546,68.80295,11.720751,42.510437
20240108T1700,-0.76975465,69.445244,11.525623,38.659805
20240108T1800,-0.9597546,70.04352,11.246759,39.805573
20240108T1900,-1.0797546,71.09922,10.233123,39.2894
20240108T2000,-0.98975456,71.173904,9.931042,43.53119
20240108T2100,-1.0197546,71.82452,11.457958,43.726974
20240108T2200,-0.9597546,73.279915,10.685391,32.619232
20240108T2300,-1.0397546,73.76836,9.826088,28.442917
20240109T0000,-1.1997546,73.509674,9.983106,25.640991
20240109T0100,-1.5697545,74.224075,10.163227,22.932098
20240109T0200,-1.9097546,74.72531,10.144082,27.474426
20240109T0300,-2.1097546,74.62677,9.19939,30.579224
20240109T0400,-2.6397548,76.38059,9.085988,33.690063
20240109T0500,-2.7997546,75.12037,8.435069,39.805573
20240109T0600,-2.8797545,73.492256,7.653705,41.18593
20240109T0700,-2.9797544,72.33781,7.127636,44.999985
20240109T0800,-2.9897547,74.041084,7.2,53.130096
20240109T0900,-2.8297548,72.42716,7.4128532,60.945396
20240109T1000,-2.7397547,75.42347,7.24486,63.43495
20240109T1100,-2.4497547,74.90242,5.815978,68.19859
20240109T1200,-2.1897545,74.897995,6.1305785,49.76364
20240109T1300,-1.9597546,74.31415,5.1165614,50.7106
20240109T1400,-1.8497547,74.3941,4.1046314,37.87497
20240109T1500,-1.9097546,76.230736,4.8433046,48.01277
20240109T1600,-2.7297544,83.85702,5.0911684,44.999985
20240109T1700,-2.5297546,82.30205,5.0911684,44.999985
20240109T1800,-2.3197546,83.40833,4.6938257,57.5288
20240109T1900,-2.5497546,87.33327,4.2136917,70.016884
20240109T2000,-2.6197548,88.05649,4.452954,75.96376
20240109T2100,-2.4497547,86.03032,4.6938252,85.60129
20240109T2200,-2.5597544,90.97576,4.379589,80.537674
20240109T2300,-2.6297545,91.31327,4.5536795,108.434944
20240110T0000,-2.6497545,91.79538,4.510787,118.61046
20240110T0100,-2.7097545,92.067665,2.6208394,105.9454
20240110T0200,-2.8797545,93.24274,2.1897945,80.537674
20240110T0300,-2.7497544,92.34266,2.1897945,80.537674
20240110T0400,-2.8797545,91.6357,2.5455842,81.869896
20240110T0500,-3.0297546,91.13705,1.8,89.99999
20240110T0600,-3.2197547,89.81249,2.1897945,99.46232
20240110T0700,-3.3897548,88.97692,3.2599385,96.34019
20240110T0800,-3.2197547,87.31645,2.9024127,97.125015
20240110T0900,-2.3397546,85.65405,3.319036,102.52881
20240110T1000,-1.3397546,83.743935,4.32,89.99999
20240110T1100,-0.4297546,82.814476,5.634891,116.56505
20240110T1200,0.23024541,81.32003,4.6938257,122.47119
20240110T1300,0.8202454,81.051346,3.9763298,84.805565
